name,city,lan,lon
"Fountainhead Lodge Airpark","Eufaula",38.89883335,-95.60165111
"Galt","Chicago/Greenwood/Wonderlake",40.26647242,-88.37588917
"Gatesville - City/County","Gatesville",42.12755631,-97.79696778
"Gettysburg Municipal","Gettysburg",98.73055644,-99.9535
"Gladewater Municipal","Gladewater",52.88386132,-94.97174556
"Goldfield","Goldfield",71.79883337,-117.2384119
"Gragg-Wade","Clanton",85.04866732,-86.61145333
"Griffith-Merrillville","Griffith",51.96191741,-87.40109333
"Harriet Alexander","Salida",53.91638938,-106.0458483
"Hartington Municipal","Hartington",60.35555642,-97.25263889
"Harvard State","Harvard",65.1385284,-98.07978667
"Hawley Municipal","Hawley",88.38488946,-96.35089861
"Headland Municipal","Headland",36.489531,-85.30965556
"Hilliard Airpark","Hilliard",68.801253,-81.90594389
"Holmes County","Millersburg",53.7166674,-81.95436111
"Humboldt Municipal","Humboldt",73.6082542,-94.24524167
"Humphreys County","Waverly",11.65997236,-87.73815889
"Jackpot/Hayden","Jackpot",97.60222241,-114.6580911
"Jean","Jean",76.82722235,-115.3296378
"Jefferson County International","Port Townsend",4.98136148,-122.8012792
"Jekyll Island","Jekyll Island",7.44722231,-81.42777778
"Kayenta","Kayenta",70.97213936,-110.2367978
"Livingston Municipal","Livingston",68.5861113,-95.01792778
"Loup City Municipal","Loup City",29.02869441,-98.99064278
"Meadow Lake","Colorado Springs",94.57488938,-104.5698933
"Memphis Memorial","Memphis",44.7258894,-92.22696056
"Mission Sioux","Mission",30.69477843,-100.6281936
"Moriarty","Moriarty",98.56063934,-106.0094661
"Moton  Municipal","Tuskegee",46.04716732,-85.68003611
"North Buffalo Suburban","Lockport",10.31838943,-78.70334583
"Owyhee","Owyhee",95.32330641,-116.1876014
"Panola County","Batesville",36.67744434,-89.90008917
"Pender Municipal","Pender",11.38872242,-96.72892556
"Perry-Warsaw","Perry",74.13466742,-78.05208056
"Pilot Station","Pilot Station",93.39641761,-162.8929358
"Pioneer Village","Minden",51.491254,-98.94565083
"Randall","Middletown",43.15658341,-74.39191722
"Red River","Coushatta",99.07169431,-93.30739306
"Rolla Municipal","Rolla",88.43411148,-99.62087694
"Sargent Municipal","Sargent",63.69508341,-99.34038139
"Schaumburg","Chicago/Schaumburg",98.93408341,-88.10124278
"Schaumburg Heliport","Chicago/Schaumburg",4.80827842,-88.05257194
"Scott","Parsons",63.77835,-88.127995
"Shelter Cove","Shelter Cove",2.7643334,-124.0733639
"Shingletown","Shingletown",52.2101114,-121.8177683
"Smithville Municipal","Smithville",98.53119435,-85.80931806
"South Capitol Street","Washington",86.87233338,-77.00747583
"South Haven Municipal","South Haven",35.08333342,-86.25613889
"Stanley Municipal","Stanley",30.07986148,-102.4063514
"Tecumseh Municipal","Tecumseh",39.9444174,-96.17139694
"Tishomingo Airpark","Tishomingo",19.59283334,-96.67555694
"Tishomingo County","Belmont",49.16666734,-88.20111111
"Trego Wakeeney","Wakeeney",0.4452539,-99.89289917
"Turners Falls","Montague",59.13636142,-72.52275472
"University","Davis",53.14622238,-121.7864906
"Wallkill","Wallkill",62.78711141,-74.13375583
"Warren-Sugar Bush","Warren",11.67272244,-72.82705806
"Wetumpka Municipal","Wetumpka",52.94394432,-86.32822139
"William R Pogue Municipal","Sand Springs",17.52836,-96.15181028
"Williams County","Bryan",46.73611141,-84.50655556
"Winsted Municipal","Winsted",94.99627844,-94.0669175
